PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
3030364,244AD,Doctor of Philosophy in Economics,FCY-BGL,FCY-EDU,Mrs,COMPLETED,INT-08,3,0.5,3.5,LOWCOST,AGRICULTURAL ECONOMICS,100,720401,MARKETING,100
3030381,246AA,Doctor of Philosophy in Communication,FCY-AAD,RA-CRG,Mr,UNCONFIRM,INT-09,3,0,0,LOWCOST,,,,,
3030606,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-EDU,Ms,DISCONTIN,DOM-08,3,0,3.25,LOWCOST,,,,,
3030719,861AA,Master of Information Sciences (Research),FCY-ETM,FCY-ETM,Mr,ENROLLED,INT-12,2,0.25,2.625,LOWCOST,INTERORGANISATIONAL INFORMATION SYSTEMS,100,710301,WHOLESALE,100
3030868,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,FCY-BAG,Mr,DISCONTIN,INT-08,3,0.5,5,LOWCOST,,,,,
3030875,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,FCY-BAG,Mr,COMPLETED,INT-08,3,0.5,4.5,LOWCOST,PUBLIC ADMINISTRATION,100,750605,PUBLIC SERVICES MANAGEMENT,100
3030901,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,FCY-BGL,Mrs,COMPLETED,INT-10,3,0.5,4.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3031170,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,INACTIVE,INT-11,3,0.5,4,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3031170,861AA,Master of Information Sciences (Research),FCY-ETM,FCY-ISE,Mr,COMPLETED,INT-09,2,0.625,2.125,LOWCOST,PATTERN RECOGNITION,100,700101,APPLICATION PACKAGES,100
3031203,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,ENROLLED,INT-11,3,0.5,4.5,LOWCOST,APPLIED STATISTICS,100,640205,"OTHER NON-FERROUS ORES (E.G. COPPER, ZINC)",100
